No.,File Name,centroid1,centroid23,skew1,skew23,slope1,slope23,spread1,spread23,variance1,variance23
14,Arizona_H1_U_T1_H1-NO-R3_20140606_080000,7457.0407,7466.7,0.0109,0.0106,-1.7096,-1.7049,0.7131,0.6609,14518797.7273,14457950
15,Arizona_H1_U_T1_H1-NO-R3_20140608_060000,9904.5327,9890.875,-0.0008,-0.0008,-0.5297,-0.5363,1.196,1.1816,29398670.4545,29208950
16,Arizona_H1_U_T1_H1-NO-R3_20140610_063000,5418.5389,5504.69,0.0059,0.0051,-2.6922,-2.6507,2.2674,2.2415,36868093.1818,37430750
17,Arizona_H1_U_T1_H1-NO-R3_20140612_063000,9256.8245,9302.28,-0.0004,-0.0005,-0.842,-0.8201,1.3261,1.2709,31270377.2727,31077250
18,Arizona_H1_U_T1_H1-NO-R3_20140901_060000,9717.552,9774.135,-0.0007,-0.0007,-0.6199,-0.5926,1.2089,1.157,29995343.1818,29779300
19,Arizona_H1_U_T1_H1-NO-R3_20140905_070000,9594.8957,9667.015,-0.0007,-0.0007,-0.679,-0.6442,1.2199,1.1954,30517968.1818,30406550
20,Arizona_H1_U_T1_H1-NO-R3_20140914_080000,1553.1836,1387.555,0.3051,0.1686,-4.5555,-4.6354,4.2215,3.2806,13548228.1818,12598400
21,Arizona_H1_U_T1_H1-NO-R3_20141003_060000,9141.3689,9224.585,-0.0005,-0.0005,-0.8976,-0.8575,1.3376,1.2335,35256120.4545,35276700
22,Arizona_H1_U_T1_H1-NO-R3_20141003_063000,9262.4911,9382.72,-0.0006,-0.0006,-0.8392,-0.7813,1.3681,1.2548,35115393.1818,34768350
23,Arizona_H1_U_T2_H1-NO-R3_20140306_120000,8386.2457,8615.795,0.0002,-0.0001,-1.2616,-1.151,1.5768,1.366,34214163.6364,34196600
24,Arizona_H1_U_T2_H1-NO-R3_20140306_130000,8975.6725,9078.31,-0.0002,-0.0003,-0.9775,-0.928,1.2731,1.1757,31136831.8182,30680250
25,Arizona_H1_U_T2_H1-NO-R3_20140310_120000,8765.8095,8793.53,-0.0002,-0.0003,-1.0787,-1.0653,1.4965,1.3584,33819763.6364,33867750
26,Arizona_H1_U_T2_H1-NO-R3_20140316_120000,1174.2465,1079.5,0.1943,0.1458,-4.7382,-4.7839,2.3099,1.8425,12730049.3182,11904150
27,Arizona_H1_U_T2_H1-NO-R3_20140419_110000,5997.1216,6136.96,0.0045,0.0034,-2.4133,-2.3459,2.3716,1.7246,38317831.8182,38938550
28,Arizona_H1_U_T2_H1-NO-R3_20140420_130000,8769.5145,8888.275,-0.0002,-0.0002,-1.0769,-1.0196,1.2914,1.2268,33582613.6364,33434350
29,Arizona_H1_U_T2_H1-NO-R3_20140422_130000,8223.7836,8229.82,0.0002,0.0002,-1.34,-1.337,1.6802,1.636,34518984.0909,34665450
30,Arizona_H1_U_T2_H1-NO-R3_20140502_130000,7801.6102,7882.96,0.0009,0.0005,-1.5435,-1.5043,1.6352,1.4848,36960050,37557350
31,Arizona_H1_U_T2_H1-NO-R3_20140504_130000,9040.8591,9097.06,-0.0004,-0.0005,-0.9461,-0.919,1.4096,1.2891,31691788.6364,31818400
